,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
24,Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,70.0,Trinitario,Fiji,138600.0
25,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,60.0,Forastero (Arriba),Ecuador,105000.0
26,Ah Cacao,Tabasco,2009,70.0,Mexico,60.0,Criollo,Mexico,105000.0
27,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,75.0,Trinitario,Indonesia,154687.5
28,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,55.0,Criollo,Madagascar,103125.0
29,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,55.0,Forastero,Brazil,103125.0
30,Alain Ducasse,Vietnam,2014,75.0,France,55.0,Trinitario,Vietnam,113437.50000000001
31,Alain Ducasse,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
32,Alain Ducasse,Chuao,2013,75.0,France,50.0,Trinitario,Venezuela,103125.00000000001
33,Alain Ducasse,"Piura, Perou",2013,75.0,France,50.0,Blend,Peru,93750.0
34,Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,70.0,Forastero (Nacional),Ecuador,122500.0
35,Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,70.0,"Criollo, Trinitario",Nicaragua,134750.0
36,Alexandre,Tien Giang,2017,70.0,Netherlands,70.0,Trinitario,Vietnam,134750.0
37,Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,70.0,Forastero,Tanzania,122500.0
38,Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,65.0,Blend,Bolivia,130000.0
39,Amano,Morobe,2011,70.0,U.S.A.,80.0,Blend,Papua New Guinea,140000.0
40,Amano,Dos Rios,2010,70.0,U.S.A.,75.0,Blend,Dominican Republic,131250.0
41,Amano,Guayas,2010,70.0,U.S.A.,80.0,Blend,Ecuador,140000.0
42,Amano,Chuao,2010,70.0,U.S.A.,60.0,Trinitario,Venezuela,115500.00000000001
43,Amano,Montanya,2009,70.0,U.S.A.,60.0,Blend,Venezuela,105000.0
44,Amano,"Bali, Jembrana",2008,70.0,U.S.A.,55.0,Blend,Indonesia,96250.0
45,Amano,Madagascar,2007,70.0,U.S.A.,70.0,Trinitario,Madagascar,134750.0
46,Amano,Cuyagua,2007,70.0,U.S.A.,60.0,Blend,Venezuela,105000.0
47,Amano,Ocumare,2007,70.0,U.S.A.,75.0,Criollo,Venezuela,131250.0
48,Amatller (Simon Coll),Ghana,2009,70.0,Spain,60.0,Forastero,Ghana,105000.0
49,Amatller (Simon Coll),Ecuador,2009,70.0,Spain,55.0,Blend,Ecuador,96250.0
50,Amatller (Simon Coll),Ecuador,2009,85.0,Spain,55.0,Blend,Ecuador,116875.0
51,Amatller (Simon Coll),Ghana,2009,85.0,Spain,60.0,Forastero,Ghana,127500.0
52,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,65.0,Blend,Peru,117000.0
53,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,70.0,Trinitario,Peru,140525.0
54,Ambrosia,Dominican Republic,2015,75.0,Canada,65.0,Blend,Dominican Republic,121875.0
55,Ambrosia,Venezuela,2015,70.0,Canada,65.0,Blend,Venezuela,113750.0
56,Amedei,"Piura, Blanco de Criollo",2012,70.0,Italy,75.0,Blend,Peru,131250.0
57,Amedei,Porcelana,2007,70.0,Italy,80.0,Criollo (Porcelana),Venezuela,140000.0
58,Amedei,Nine,2007,75.0,Italy,80.0,Blend,Other,150000.0
59,Amedei,Chuao,2007,70.0,Italy,100.0,Trinitario,Venezuela,192500.00000000003
60,Amedei,Ecuador,2007,70.0,Italy,60.0,Trinitario,Ecuador,115500.00000000001
61,Amedei,Jamaica,2007,70.0,Italy,60.0,Trinitario,Jamaica,115500.00000000001
62,Amedei,Grenada,2007,70.0,Italy,70.0,Trinitario,Grenada,134750.0
63,Amedei,Venezuela,2007,70.0,Italy,75.0,Trinitario (85% Criollo),Venezuela,144375.0
64,Amedei,Madagascar,2007,70.0,Italy,80.0,Trinitario (85% Criollo),Madagascar,154000.0
65,Amedei,Trinidad,2007,70.0,Italy,70.0,Trinitario,Trinidad,134750.0
66,Amedei,Toscano Black,2006,70.0,Italy,100.0,Blend,Other,175000.0
67,AMMA,Catongo,2013,75.0,Brazil,65.0,Forastero (Catongo),Brazil,121875.0
68,AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,55.0,Forastero (Parazinho),Brazil,116875.0
69,AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,75.0,Forastero (Parazinho),Brazil,140625.0
70,Anahata,Elvesia,2014,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
71,Animas,Alto Beni,2016,75.0,U.S.A.,70.0,Blend,Bolivia,131250.0
72,Ara,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
73,Ara,Chiapas,2014,72.0,France,50.0,Blend,Mexico,90000.0
74,Ara,Equateur,2014,75.0,France,55.0,Blend,Ecuador,103125.0
75,Ara,Trincheras,2014,75.0,France,60.0,Blend,Venezuela,112500.0
76,Arete,San Juan,2016,70.0,U.S.A.,70.0,Trinitario,Trinidad,134750.0
77,Arete,Kokoa Kamili,2016,70.0,U.S.A.,75.0,Blend,Tanzania,131250.0
78,Arete,Tien Giang,2016,73.0,U.S.A.,70.0,Trinitario,Vietnam,140525.0
79,Arete,Hacienda Victoria,2016,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
80,Arete,Costa Esmeraldas,2016,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
81,Arete,Lachua,2016,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
82,Arete,Rugoso,2016,70.0,U.S.A.,75.0,Blend,Nicaragua,131250.0
83,Arete,"La Masica, FHIA",2016,70.0,U.S.A.,70.0,Blend,Honduras,122500.0
84,Arete,"Coto Brus, Terciopelo",2016,70.0,U.S.A.,80.0,Blend,Costa Rica,140000.0
85,Arete,Phantom,2016,70.0,U.S.A.,80.0,Forastero (Nacional),Peru,140000.0
86,Arete,Elvesia,2016,70.0,U.S.A.,75.0,Blend,Dominican Republic,131250.0
87,Arete,Matasawalevu,2016,70.0,U.S.A.,65.0,Blend,Fiji,113750.0
88,Arete,Lam Dong,2016,73.0,U.S.A.,65.0,Blend,Vietnam,118625.0
89,Arete,Fazenda Camboa,2015,70.0,U.S.A.,70.0,Blend,Brazil,122500.0
90,Arete,"Puerto Quito, heirloom",2015,70.0,U.S.A.,75.0,Forastero (Nacional),Ecuador,131250.0
91,Arete,Oko Caribe,2015,70.0,U.S.A.,70.0,Blend,Domincan Republic,122500.0
92,Arete,Maya Mountain,2015,70.0,U.S.A.,75.0,Trinitario,Belize,144375.0
93,Arete,Chuno,2015,70.0,U.S.A.,80.0,"Criollo, Trinitario",Nicaragua,154000.0
94,Arete,Fazenda Camboa,2015,75.0,U.S.A.,55.0,Blend,Brazil,103125.0
95,Arete,Guatemala,2015,70.0,U.S.A.,65.0,Blend,Guatemala,113750.0
96,Arete,Camino Verde,2015,75.0,U.S.A.,70.0,Blend,Ecuador,131250.0
97,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,65.0,Trinitario,Trinidad,128700.00000000001
98,Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,75.0,Blend,Colombia,135000.0
99,Artisan du Chocolat,Haiti,2011,72.0,U.K.,80.0,Blend,Haiti,144000.0
100,Artisan du Chocolat,Panama,2011,72.0,U.K.,55.0,Blend,Panama,99000.0
101,Artisan du Chocolat,Venezuela,2010,100.0,U.K.,35.0,Blend,Venezuela,87500.0
102,Artisan du Chocolat,Jamaica,2010,72.0,U.K.,75.0,Trinitario,Jamaica,148500.0
103,Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,65.0,Blend,Costa Rica,117000.0
104,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,65.0,Trinitario,Vietnam,128700.00000000001
105,Artisan du Chocolat,Bali,2010,72.0,U.K.,70.0,Blend,Indonesia,126000.0
106,Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,50.0,"Criollo, Trinitario",Venezuela,103125.00000000001
107,Artisan du Chocolat,Java,2009,72.0,U.K.,55.0,Trinitario,Indonesia,108900.00000000001
108,Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,35.0,Blend,Brazil,63000.0
109,Artisan du Chocolat,Madagascar,2009,80.0,U.K.,60.0,"Criollo, Trinitario",Madagascar,132000.0
110,Artisan du Chocolat,Peru,2009,75.0,U.K.,60.0,Criollo,Peru,112500.0
111,Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,65.0,Trinitario,Dominican Republic,128700.00000000001
112,Artisan du Chocolat,Congo,2008,72.0,U.K.,75.0,Forastero,Congo,135000.0
113,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,55.0,Trinitario,Colombia,108900.00000000001
114,Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,75.0,Trinitario,Tanzania,148500.0
115,Askinosie,Cortes,2011,70.0,U.S.A.,75.0,Trinitario,Honduras,144375.0
116,Askinosie,Davao,2009,77.0,U.S.A.,75.0,Trinitario,Philippines,158812.5
117,Askinosie,Xoconusco,2007,75.0,U.S.A.,50.0,Trinitario,Mexico,103125.00000000001
118,Askinosie,San Jose del Tambo,2007,70.0,U.S.A.,60.0,Forastero (Arriba),Ecuador,105000.0
119,Bahen & Co.,Houseblend,2015,80.0,Australia,65.0,Blend,Other,130000.0
120,Bahen & Co.,Papua New Guinea,2015,70.0,Australia,70.0,Blend,Papua New Guinea,122500.0
121,Bahen & Co.,Sambirano,2012,70.0,Australia,60.0,Trinitario,Madagascar,115500.00000000001
122,Bahen & Co.,Bahia,2012,70.0,Australia,50.0,Blend,Brazil,87500.0
123,Bahen & Co.,Houseblend,2012,70.0,Australia,50.0,Blend,Other,87500.0
124,Bakau,"Bambamarca, 2015",2015,70.0,Peru,55.0,Blend,Peru,96250.0
125,Bakau,"Huallabamba, 2015",2015,70.0,Peru,70.0,Blend,Peru,122500.0
126,Bar Au Chocolat,Bahia,2015,70.0,U.S.A.,70.0,Blend,Brazil,122500.0
127,Bar Au Chocolat,Maranon Canyon,2014,70.0,U.S.A.,80.0,Forastero (Nacional),Peru,140000.0
128,Bar Au Chocolat,Duarte Province,2012,70.0,U.S.A.,65.0,Blend,Dominican Republic,113750.0
129,Bar Au Chocolat,Chiapas,2012,70.0,U.S.A.,70.0,Blend,Mexico,122500.0
130,Bar Au Chocolat,Sambirano,2012,70.0,U.S.A.,75.0,Trinitario,Madagascar,144375.0
131,Baravelli's,single estate,2012,80.0,Wales,55.0,Blend,Costa Rica,110000.0
132,Batch,Brazil,2016,70.0,U.S.A.,75.0,Blend,Brazil,131250.0
133,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,60.0,Blend,Malaysia,109500.0
134,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,65.0,Blend,Malaysia,117000.0
135,Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,55.0,Blend,Brazil,110000.0
136,Beehive,"Dominican Republic, Batch 31616",2016,70.0,U.S.A.,55.0,Blend,Domincan Republic,96250.0
137,Beehive,"Ecuador, Batch 31516",2016,70.0,U.S.A.,55.0,Blend,Ecuador,96250.0
138,Beehive,Ecuador,2016,90.0,U.S.A.,55.0,Blend,Ecuador,123750.0
139,Belcolade,Ecuador,2010,71.0,Belgium,70.0,Blend,Ecuador,124250.0
140,Bellflower,"Kakao Kamili, Kilombero Valley",2016,70.0,U.S.A.,70.0,"Criollo, Trinitario",Tanzania,134750.0
141,Bellflower,"Alto Beni, Palos Blanco",2016,70.0,U.S.A.,65.0,Blend,Bolivia,113750.0
142,Bellflower,"Oko Caribe, Duarte P.",2016,70.0,U.S.A.,70.0,Blend,Domincan Republic,122500.0
143,Belyzium,"Belize south, low fermentation",2016,83.0,Germany,55.0,Trinitario,Belize,125537.50000000001
144,Belyzium,Belize south,2016,78.0,Germany,60.0,Trinitario,Belize,128700.00000000001
145,Belyzium,Belize south,2016,83.0,Germany,70.0,Trinitario,Belize,159775.0
146,Benoit Nihant,Baracoa,2013,74.0,Belgium,70.0,Trinitario,Cuba,142450.0
147,Benoit Nihant,Chuao,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
148,Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
149,Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,80.0,Trinitario,Ecuador,160600.0
150,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,80.0,Trinitario,Indonesia,158400.0
151,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,75.0,Trinitario,Madagascar,148500.0
152,Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,60.0,Criollo,Venezuela,132000.0
153,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
154,Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,80.0,Blend,Ecuador,144000.0
155,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70.0,Switzerland,65.0,Trinitario,Venezuela,125125.00000000001
156,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,65.0,Criollo (Porcelana),Venezuela,120250.0
157,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
158,Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,50.0,Blend,Nicaragua,95000.0
159,Bisou,"San Andres, American style",2015,76.0,U.S.A.,50.0,Blend,Costa Rica,95000.0
160,Bisou,"San Andres, silk",2015,78.0,U.S.A.,50.0,Blend,Costa Rica,97500.0
161,Bisou,Belize,2015,86.0,U.S.A.,65.0,Trinitario,Belize,153725.0
162,Bittersweet Origins,Ghana,2012,72.0,U.S.A.,70.0,Forastero,Ghana,126000.0
163,Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,65.0,Blend,Indonesia,121875.0
164,Bittersweet Origins,2009 Hapa Nibby,2010,70.0,U.S.A.,75.0,Blend,"Dominican Rep., Bali",131250.0
165,Bittersweet Origins,"Sambirano, 2009",2010,70.0,U.S.A.,60.0,Trinitario,Madagascar,115500.00000000001
166,Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,60.0,Criollo,Venezuela,117000.0
167,Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
168,Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,65.0,Trinitario,Madagascar,134062.5
169,Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,60.0,Trinitario,Madagascar,117150.00000000001
170,Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,70.0,Blend,Panama,131250.0
171,Bittersweet Origins,Ankasa,2008,70.0,U.S.A.,60.0,Forastero,Ghana,105000.0
172,Black Mountain,La Red,2008,70.0,U.S.A.,55.0,Blend,Dominican Republic,96250.0
173,Black Mountain,Carenero Superior,2008,70.0,U.S.A.,55.0,Trinitario,Venezuela,105875.00000000001
174,Black Mountain,Matiguas,2008,70.0,U.S.A.,60.0,Blend,Nicaragua,105000.0
175,Black River (A. Morin),Blue Mountain Region,2014,70.0,U.K.,55.0,Trinitario,Jamaica,105875.00000000001
176,Blanxart,"Congo, Grand Cru",2013,82.0,Spain,70.0,Forastero,Congo,143500.0
177,Blanxart,Organic Dark,2009,72.0,Spain,55.0,Blend,Other,99000.0
178,Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,70.0,Trinitario,Madagascar,157850.0
179,Blue Bandana,Lachua,2016,75.0,U.S.A.,55.0,Blend,Guatemala,103125.0
180,Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,70.0,Blend,Tanzania,131250.0
181,Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
182,Blue Bandana,Guatemala,2012,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
183,Blue Bandana,Madagascar,2012,70.0,U.S.A.,75.0,Trinitario,Madagascar,144375.0
184,Bonnat,Selva Maya,2016,75.0,France,70.0,Blend,Mexico,131250.0
185,Bonnat,Kaori,2014,75.0,France,80.0,Blend,Brazil,150000.0
186,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,65.0,Blend,Dominican Republic,121875.0
187,Bonnat,Maragnam,2013,75.0,France,70.0,Blend,Brazil,131250.0
188,Bonnat,Gabon,2013,75.0,France,65.0,Blend,Gabon,121875.0
189,Bonnat,Cuba,2011,75.0,France,70.0,Trinitario,Cuba,144375.0
190,Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,70.0,Blend,Peru,131250.0
191,Bonnat,Piura Blanco,2011,75.0,France,70.0,Forastero (Nacional),Peru,131250.0
192,Bonnat,Libanio,2011,75.0,France,75.0,Blend,Brazil,140625.0
193,Bonnat,Haiti,2011,75.0,France,80.0,Blend,Haiti,150000.0
194,Bonnat,"Madagascar, 100% criollo",2011,75.0,France,80.0,Criollo,Madagascar,150000.0
195,Bonnat,Juliana,2011,75.0,France,70.0,Blend,Brazil,131250.0
196,Bonnat,Jamaique,2011,75.0,France,65.0,Trinitario,Jamaica,134062.5
197,Bonnat,Ivory Coast,2009,75.0,France,60.0,Blend,Ivory Coast,112500.0
198,Bonnat,"Porcelana, Apotequil",2009,75.0,France,55.0,Criollo,Peru,103125.0
199,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,60.0,Criollo,Mexico,112500.0
200,Bonnat,"Xoconusco, cacao Real",2009,75.0,France,60.0,Criollo,Mexico,112500.0
201,Bonnat,"Porcelana, Venezuela",2008,75.0,France,80.0,Criollo (Porcelana),Venezuela,150000.0
202,Bonnat,Equateur,2007,75.0,France,50.0,Forastero (Arriba),Ecuador,93750.0
203,Bonnat,Trinite,2006,75.0,France,75.0,Trinitario,Carribean,154687.5
204,Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,80.0,Blend,Venezuela,150000.0
205,Bonnat,"Maracaibo, El Rosario",2006,75.0,France,80.0,Criollo,Venezuela,150000.0
206,Bonnat,Madagascar,2006,75.0,France,80.0,Trinitario,Madagascar,165000.0
207,Bonnat,One Hundred,2006,100.0,France,30.0,Blend,Other,75000.0
208,Bonnat,Ceylan,2006,75.0,France,60.0,Blend,Sri Lanka,112500.0
209,Bonnat,Chuao,2006,75.0,France,80.0,Trinitario,Venezuela,165000.0
210,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,65.0,Forastero (Arriba),Ecuador,125125.0
211,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,30.0,Forastero (Arriba),Ecuador,75000.0
212,Bowler Man,Maya Mountain,2014,70.0,U.S.A.,55.0,Trinitario,Belize,105875.00000000001
213,Bowler Man,Conacado,2014,70.0,U.S.A.,55.0,Blend,Dominican Republic,96250.0
214,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70.0,U.S.A.,70.0,Criollo,Venezuela,122500.0
215,Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70.0,U.S.A.,75.0,Blend,Nicaragua,131250.0
216,Brasstown aka It's Chocolate,Maya Mountain,2014,70.0,U.S.A.,75.0,Trinitario,Belize,144375.0
217,Brasstown aka It's Chocolate,Chuao,2014,70.0,U.S.A.,80.0,Trinitario,Venezuela,154000.0
218,Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A.,60.0,Trinitario,Dominican Republic,118800.00000000001
219,Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
220,Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A.,70.0,Forastero,Ghana,131250.0
221,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A.,70.0,Trinitario,Venezuela,163625.0
222,Brazen,Elvesia P.,2015,80.0,U.S.A.,65.0,Blend,Dominican Republic,130000.0
223,Brazen,"Alta Verapaz, 2014",2015,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
224,Brazen,Ambolikapiky P.,2015,80.0,U.S.A.,55.0,Blend,Madagascar,110000.0
225,Brazen,Maya Mountain,2015,80.0,U.S.A.,65.0,Trinitario,Belize,143000.0
226,Breeze Mill,Jamaica,2013,70.0,U.S.A.,60.0,Trinitario,Jamaica,115500.00000000001
227,Bright,Somia Plantation,2014,72.0,Australia,60.0,Trinitario,Madagascar,118800.00000000001
228,Bright,Marabel Farms,2014,70.0,Australia,70.0,Blend,Dominican Republic,122500.0
229,Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,70.0,Blend,Ecuador,126000.0
230,Britarev,Ecuador,2015,70.0,Russia,65.0,Blend,Ecuador,113750.0
231,Burnt Fork Bend,Trinidad,2014,72.0,U.S.A.,65.0,Trinitario,Trinidad,128700.00000000001
232,Burnt Fork Bend,Mindo,2014,72.0,U.S.A.,70.0,Blend,Ecuador,126000.0
233,Burnt Fork Bend,Belize,2014,72.0,U.S.A.,65.0,Trinitario,Belize,128700.00000000001
234,Burnt Fork Bend,Blend,2014,72.0,U.S.A.,65.0,Blend,Other,117000.0
235,Cacao Arabuco,Puerto Rico,2015,70.0,Puerto Rico,50.0,Blend,Puerto Rico,87500.0
236,Cacao Atlanta,Tumbes,2014,75.0,U.S.A.,50.0,Criollo,Peru,93750.0
237,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75.0,U.S.A.,50.0,Blend,Dominican Republic,93750.0
238,Cacao Atlanta,Dominican Republic w/ nibs,2010,75.0,U.S.A.,55.0,Blend,Dominican Republic,103125.0
239,Cacao Atlanta,Patanemo,2010,75.0,U.S.A.,45.0,Blend,Venezuela,84375.0
240,Cacao Barry,Santo Domingo,2010,70.0,France,60.0,Blend,Dominican Republic,105000.0
241,Cacao Barry,Tanzania,2008,75.0,France,40.0,Blend,Tanzania,75000.0
242,Cacao Barry,Venezuela,2007,72.0,France,40.0,Blend,Venezuela,72000.0
243,Cacao de Origen,Chuao,2015,77.0,Venezuela,70.0,Trinitario,Venezuela,148225.0
244,Cacao de Origen,Rio Caribe,2015,75.0,Venezuela,65.0,Trinitario,Venezuela,134062.5
245,Cacao de Origen,Agua Fria; Sucre region,2014,75.0,Venezuela,50.0,Blend,Venezuela,93750.0
246,Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
247,Cacao de Origen,"Chuao, Aragua region",2014,75.0,Venezuela,70.0,Trinitario,Venezuela,144375.0
248,Cacao de Origen,"Chuao, Aragua region",2014,70.0,Venezuela,75.0,Trinitario,Venezuela,144375.0
249,Cacao de Origin,Hacienda la Trinidad,2015,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
250,Cacao Hunters,Macondo,2016,71.0,Colombia,75.0,Blend,Colombia,133125.0
251,Cacao Hunters,Perla Negra,2016,74.0,Colombia,75.0,Blend,Colombia,138750.0
252,Cacao Hunters,Arhuacos,2015,72.0,Colombia,75.0,Blend,Colombia,135000.0
253,Cacao Hunters,Tumaco,2014,70.0,Colombia,70.0,Blend,Colombia,122500.0
254,Cacao Hunters,Arauca,2014,70.0,Colombia,65.0,Blend,Colombia,113750.0
255,Cacao Market,"Jutiapa, lot 050916D",2016,70.0,U.S.A.,70.0,Trinitario,Honduras,134750.0
256,Cacao Prieto,"Criollo, Dominican Republic",2012,72.0,U.S.A.,75.0,Criollo,Dominican Republic,135000.0
257,Cacao Prieto,"Dominican Republicm, rustic",2011,72.0,U.S.A.,60.0,Blend,Dominican Republic,108000.0
258,Cacao Sampaka,"Mahali, Kasai",2016,70.0,Spain,70.0,Criollo,Congo,122500.0
259,Cacao Sampaka,Madagascar,2010,71.0,Spain,70.0,Trinitario,Madagascar,136675.0
260,Cacao Sampaka,Ecuador,2010,71.0,Spain,75.0,Blend,Ecuador,133125.0
261,Cacao Sampaka,Papua,2010,71.0,Spain,80.0,Blend,Papua New Guinea,142000.0
262,Cacao Sampaka,Grenada,2010,71.0,Spain,65.0,Trinitario,Grenada,126912.50000000001
263,Cacao Sampaka,Venezuela,2010,71.0,Spain,70.0,Blend,Venezuela,124250.0
264,Cacao Sampaka,Venezuela,2010,77.0,Spain,70.0,Blend,Venezuela,134750.0
265,Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70.0,Spain,80.0,Criollo,Mexico,140000.0
266,Cacao Sampaka,"Xoconusco, Chiapas",2009,70.0,Spain,80.0,Criollo,Mexico,140000.0
267,Cacao Store,Madagascar,2015,70.0,Japan,60.0,Trinitario,Madagascar,115500.00000000001
268,Cacao Store,Peru,2015,70.0,Japan,65.0,Blend,Peru,113750.0
269,Cacao Store,Vietnam,2015,70.0,Japan,70.0,Trinitario,Vietnam,134750.0
270,Cacaosuyo (Theobroma Inversiones),Piura,2013,70.0,Peru,65.0,Blend,Peru,113750.0
271,Cacaoyere (Ecuatoriana),Esmeraldas,2008,71.0,Ecuador,70.0,Forastero (Arriba),Ecuador,124250.0
